jpg_filename,grid_row,grid_col,eval_h,eval_w,polymer_idx,manual_len_px,model_cc_id,model_skel_len_px,model_major_axis_px,centroid_distance_px
D16_03_1_7_Bright Field_001_LHi (129)__y1031_x1481_h90_w90.jpg,0,0,90,90,0,36.22154055254967,1,36,46.59694143356436,4.900155738257106
D16_03_1_7_Bright Field_001_LHi (129)__y1031_x1481_h90_w90.jpg,0,0,90,90,1,18.027756377319946,2,25,30.689439127187573,1.9397828600708833
D16_03_1_7_Bright Field_001_LHi (137)__y234_x1538_h64_w64.jpg,0,1,64,64,2,18.973665961010276,2,22,26.645532380886245,7.2305902728811295
D16_03_1_7_Bright Field_001_LHi (139)__y1530_x545_h64_w64.jpg,0,2,64,64,5,10.135955964080834,3,9,13.41376891904286,1.1666725392002675
D16_03_1_7_Bright Field_001_LHi (155)__y913_x1459_h87_w87.jpg,0,3,87,87,6,38.27531841800928,1,34,47.542405495229914,5.132932194104042
D16_03_1_7_Bright Field_001_LHi (161)__y753_x1280_h123_w123.jpg,0,4,123,123,7,70.25667228100119,1,73,83.73763435133189,1.8139234027853142
D16_03_1_7_Bright Field_001_LHi (163)__y228_x414_h64_w64.jpg,0,5,64,64,8,19.235384061671343,2,17,21.81931489279199,2.4403893496733886
D16_03_1_7_Bright Field_001_LHi (163)__y228_x414_h64_w64.jpg,0,5,64,64,9,13.038404810405298,3,15,18.661289519516338,25.907503237625225
D16_03_1_7_Bright Field_001_LHi (163)__y228_x414_h64_w64.jpg,0,5,64,64,10,15.620499351813308,1,6,11.457475025211213,3.2452524579865987
D16_03_1_7_Bright Field_002__y1279_x395_h89_w89.jpg,1,5,89,89,11,31.32091952673165,1,32,40.20869834815995,4.264451706200411
D16_03_1_7_Bright Field_001_LHi (88)__y418_x1202_h77_w77.jpg,1,4,77,77,12,28.319604517012593,1,28,42.79430348976636,1.2453305583002001
D16_03_1_7_Bright Field_001_LHi (80)__y1148_x1794_h116_w116.jpg,1,3,116,116,13,66.70832032063167,1,66,70.22335582593743,5.870969143647094
D16_03_1_7_Bright Field_001_LHi (8)__y933_x480_h89_w89.jpg,1,2,89,89,14,48.76474136094644,2,42,53.7021568134889,2.1775788364833883
D16_03_1_7_Bright Field_001_LHi (8)__y933_x480_h89_w89.jpg,1,2,89,89,15,37.48332962798263,1,39,45.0816397635324,6.7473615010223424
D16_03_1_7_Bright Field_001_LHi (8)__y933_x480_h89_w89.jpg,1,2,89,89,16,32.9820026681219,3,32,35.73975339466091,1.7793099852198595
D16_03_1_7_Bright Field_001_LHi (26)__y966_x756_h128_w128.jpg,1,1,128,128,17,138.29660304296394,1,129,161.68338847124502,2.1919946362024927
D16_03_1_7_Bright Field_001_LHi (172)__y934_x1203_h91_w91.jpg,0,9,91,91,18,33.95585369269929,2,27,35.577425475828456,3.296054112663886
D16_03_1_7_Bright Field_001_LHi (172)__y934_x1203_h91_w91.jpg,0,9,91,91,19,43.829214001622255,1,36,50.28014721410365,2.6131704500292448
G21_03_1_11_Bright Field_002__y1538_x71_h128_w128.jpg,1,8,128,128,20,47.16990566028302,2,41,47.914498846268096,0.9203537579091824
G21_03_1_11_Bright Field_002__y1538_x71_h128_w128.jpg,1,8,128,128,21,100.20977996183805,1,71,99.96776709424566,0.6649373736541199
G21_03_1_14_Bright Field_001__y864_x511_h65_w65.jpg,1,9,65,65,22,17.029386365926403,2,14,21.933240731416426,1.2891123356572958
G21_03_1_11_Bright Field_001__y1183_x248_h96_w96.jpg,1,7,96,96,23,40.049968789001575,1,38,42.43799876396779,1.8174087532799792
G21_03_1_11_Bright Field_001__y1183_x248_h96_w96.jpg,1,7,96,96,24,28.071337695236398,2,33,39.953674898796116,5.640226010287886
G21_03_1_10_Bright Field_002__y1780_x246_h128_w128.jpg,1,6,128,128,26,85.14693182963201,1,86,101.08258822393158,1.2358968965846227
H20_03_1_10_Bright Field_001__y795_x640_h107_w107.jpg,2,9,107,107,27,64.41273166075166,1,56,74.76953190029558,2.6990723652924093
H20_03_1_10_Bright Field_001__y795_x640_h107_w107.jpg,2,9,107,107,28,53.33854141237835,3,28,32.725760768792334,9.011684170867117
H20_03_1_1_Bright Field_001__y626_x516_h64_w64.jpg,3,9,64,64,29,19.822623200084795,2,13,19.295988973566676,5.079032174872597
H20_03_1_1_Bright Field_001__y626_x516_h64_w64.jpg,3,9,64,64,36,14.0,1,9,13.532105940099258,3.3507331337545985
G21_03_1_8_Bright Field_001__y846_x1255_h66_w66.jpg,2,8,66,66,30,19.738540979515246,1,21,23.621954160603323,3.6543157424759545
G21_03_1_8_Bright Field_001__y846_x1255_h66_w66.jpg,2,8,66,66,31,21.095023109728988,3,25,30.018351867129077,11.070577337120367
G21_03_1_8_Bright Field_001__y846_x1255_h66_w66.jpg,2,8,66,66,32,20.396078054371138,4,14,18.95593849518419,5.933632227836955
H20_03_1_16_Bright Field_002__y151_x1431_h98_w98.jpg,3,8,98,98,33,90.68627239003708,1,48,67.09238519853808,15.993268982124741
H20_03_1_15_Bright Field_002__y898_x1070_h64_w64.jpg,3,7,64,64,34,41.249457590122184,1,38,43.73922416803216,2.272614455391312
G21_03_1_7_Bright Field_002__y1563_x1553_h110_w110.jpg,2,7,110,110,35,62.81719509815764,1,60,66.21010183189459,3.4641626009310778
G21_03_1_6_Bright Field_002__y1500_x364_h128_w128.jpg,2,5,128,128,37,100.87561556696105,1,84,95.37443496299191,14.581207979381784
G21_03_1_7_Bright Field_001__y1796_x356_h89_w89.jpg,2,6,89,89,38,55.90169943749474,1,36,52.30655796246295,5.475007835501465
H20_03_1_15_Bright Field_001__y947_x86_h65_w65.jpg,3,6,65,65,39,15.0,1,7,18.369456993856495,1.5923036265116872
