polymer_idx,grid_row,grid_col,jpg_filename,source_stem,eval_h,eval_w,eval_diag_px,manual_len_px,was_clipped,start_xy_raw,end_xy_raw,start_xy_clipped,end_xy_clipped
0,0,0,D16_03_1_7_Bright Field_001_LHi (129)__y1031_x1481_h90_w90.jpg,D16_03_1_7_Bright Field_001_LHi (129),90,90,127.27922061357856,36.22154055254967,False,"[150.5, 126.5]","[114.5, 130.5]","[150.5, 126.5]","[114.5, 130.5]"
1,0,0,D16_03_1_7_Bright Field_001_LHi (129)__y1031_x1481_h90_w90.jpg,D16_03_1_7_Bright Field_001_LHi (129),90,90,127.27922061357856,18.027756377319946,False,"[159.5, 142.5]","[158.5, 160.5]","[159.5, 142.5]","[158.5, 160.5]"
2,0,1,D16_03_1_7_Bright Field_001_LHi (137)__y234_x1538_h64_w64.jpg,D16_03_1_7_Bright Field_001_LHi (137),64,64,90.50966799187809,18.973665961010276,False,"[357.5, 155.5]","[375.5, 149.5]","[357.5, 155.5]","[375.5, 149.5]"
3,0,2,D16_03_1_7_Bright Field_001_LHi (139)__y1530_x545_h64_w64.jpg,D16_03_1_7_Bright Field_001_LHi (139),64,64,90.50966799187809,10.816653826391969,False,"[640.5, 134.5]","[631.5, 128.5]","[640.5, 134.5]","[631.5, 128.5]"
4,0,2,D16_03_1_7_Bright Field_001_LHi (139)__y1530_x545_h64_w64.jpg,D16_03_1_7_Bright Field_001_LHi (139),64,64,90.50966799187809,11.313708498984761,False,"[645.5, 130.5]","[637.5, 122.5]","[645.5, 130.5]","[637.5, 122.5]"
5,0,2,D16_03_1_7_Bright Field_001_LHi (139)__y1530_x545_h64_w64.jpg,D16_03_1_7_Bright Field_001_LHi (139),64,64,90.50966799187809,10.135955964080834,True,"[634.5, 152.5]","[624.5, 163.5]","[634.5, 152.5]","[627.6818181818181, 160.0]"
6,0,3,D16_03_1_7_Bright Field_001_LHi (155)__y913_x1459_h87_w87.jpg,D16_03_1_7_Bright Field_001_LHi (155),87,87,123.03657992645927,38.27531841800928,False,"[908.5, 147.5]","[887.5, 115.5]","[908.5, 147.5]","[887.5, 115.5]"
7,0,4,D16_03_1_7_Bright Field_001_LHi (161)__y753_x1280_h123_w123.jpg,D16_03_1_7_Bright Field_001_LHi (161),123,123,173.9482681718907,70.25667228100119,False,"[1149.5, 163.5]","[1155.5, 93.5]","[1149.5, 163.5]","[1155.5, 93.5]"
8,0,5,D16_03_1_7_Bright Field_001_LHi (163)__y228_x414_h64_w64.jpg,D16_03_1_7_Bright Field_001_LHi (163),64,64,90.50966799187809,19.235384061671343,False,"[1432.5, 130.5]","[1423.5, 147.5]","[1432.5, 130.5]","[1423.5, 147.5]"
9,0,5,D16_03_1_7_Bright Field_001_LHi (163)__y228_x414_h64_w64.jpg,D16_03_1_7_Bright Field_001_LHi (163),64,64,90.50966799187809,13.038404810405298,False,"[1421.5, 127.5]","[1414.5, 138.5]","[1421.5, 127.5]","[1414.5, 138.5]"
10,0,5,D16_03_1_7_Bright Field_001_LHi (163)__y228_x414_h64_w64.jpg,D16_03_1_7_Bright Field_001_LHi (163),64,64,90.50966799187809,15.620499351813308,False,"[1415.5, 119.5]","[1405.5, 131.5]","[1415.5, 119.5]","[1405.5, 131.5]"
11,1,5,D16_03_1_7_Bright Field_002__y1279_x395_h89_w89.jpg,D16_03_1_7_Bright Field_002,89,89,125.86500705120545,31.32091952673165,False,"[1413.5, 361.5]","[1404.5, 391.5]","[1413.5, 361.5]","[1404.5, 391.5]"
12,1,4,D16_03_1_7_Bright Field_001_LHi (88)__y418_x1202_h77_w77.jpg,D16_03_1_7_Bright Field_001_LHi (88),77,77,108.89444430272832,28.319604517012593,False,"[1161.5, 372.5]","[1142.5, 393.5]","[1161.5, 372.5]","[1142.5, 393.5]"
13,1,3,D16_03_1_7_Bright Field_001_LHi (80)__y1148_x1794_h116_w116.jpg,D16_03_1_7_Bright Field_001_LHi (80),116,116,164.04877323527901,66.70832032063167,False,"[870.5, 376.5]","[931.5, 403.5]","[870.5, 376.5]","[931.5, 403.5]"
14,1,2,D16_03_1_7_Bright Field_001_LHi (8)__y933_x480_h89_w89.jpg,D16_03_1_7_Bright Field_001_LHi (8),89,89,125.86500705120545,48.76474136094644,False,"[625.5, 410.5]","[602.5, 367.5]","[625.5, 410.5]","[602.5, 367.5]"
15,1,2,D16_03_1_7_Bright Field_001_LHi (8)__y933_x480_h89_w89.jpg,D16_03_1_7_Bright Field_001_LHi (8),89,89,125.86500705120545,37.48332962798263,False,"[636.5, 407.5]","[642.5, 370.5]","[636.5, 407.5]","[642.5, 370.5]"
16,1,2,D16_03_1_7_Bright Field_001_LHi (8)__y933_x480_h89_w89.jpg,D16_03_1_7_Bright Field_001_LHi (8),89,89,125.86500705120545,32.9820026681219,True,"[654.5, 407.5]","[688.5, 390.5]","[654.5, 407.5]","[684.0, 392.75]"
17,1,1,D16_03_1_7_Bright Field_001_LHi (26)__y966_x756_h128_w128.jpg,D16_03_1_7_Bright Field_001_LHi (26),128,128,181.01933598375618,138.29660304296394,True,"[359.5, 318.5]","[413.5, 450.5]","[360.1136363636364, 320.0]","[412.47727272727275, 448.0]"
18,0,9,D16_03_1_7_Bright Field_001_LHi (172)__y934_x1203_h91_w91.jpg,D16_03_1_7_Bright Field_001_LHi (172),91,91,128.69343417595164,33.95585369269929,False,"[2443.5, 146.5]","[2410.5, 154.5]","[2443.5, 146.5]","[2410.5, 154.5]"
19,0,9,D16_03_1_7_Bright Field_001_LHi (172)__y934_x1203_h91_w91.jpg,D16_03_1_7_Bright Field_001_LHi (172),91,91,128.69343417595164,43.829214001622255,False,"[2453.5, 138.5]","[2414.5, 118.5]","[2453.5, 138.5]","[2414.5, 118.5]"
20,1,8,G21_03_1_11_Bright Field_002__y1538_x71_h128_w128.jpg,G21_03_1_11_Bright Field_002,128,128,181.01933598375618,47.16990566028302,False,"[2212.5, 418.5]","[2195.5, 374.5]","[2212.5, 418.5]","[2195.5, 374.5]"
21,1,8,G21_03_1_11_Bright Field_002__y1538_x71_h128_w128.jpg,G21_03_1_11_Bright Field_002,128,128,181.01933598375618,100.20977996183805,False,"[2206.5, 425.5]","[2147.5, 344.5]","[2206.5, 425.5]","[2147.5, 344.5]"
