jpg_filename,grid_row,grid_col,kind,model_cc_id,len_px,polymer_idx
D16_03_1_7_Bright Field_001_LHi (129)__y1031_x1481_h90_w90.jpg,0,0,model_cc_no_match (model_FP),3.0,8.0,
D16_03_1_7_Bright Field_001_LHi (137)__y234_x1538_h64_w64.jpg,0,1,model_cc_no_match (model_FP),1.0,3.0,
D16_03_1_7_Bright Field_001_LHi (139)__y1530_x545_h64_w64.jpg,0,2,manual_no_match (model_FN),,10.816653826391969,3.0
D16_03_1_7_Bright Field_001_LHi (139)__y1530_x545_h64_w64.jpg,0,2,manual_no_match (model_FN),,11.313708498984761,4.0
G21_03_1_14_Bright Field_001__y864_x511_h65_w65.jpg,1,9,model_cc_no_match (model_FP),1.0,11.0,
G21_03_1_14_Bright Field_001__y864_x511_h65_w65.jpg,1,9,model_cc_no_match (model_FP),3.0,15.0,
G21_03_1_14_Bright Field_001__y864_x511_h65_w65.jpg,1,9,model_cc_no_match (model_FP),4.0,3.0,
G21_03_1_11_Bright Field_001__y1183_x248_h96_w96.jpg,1,7,manual_no_match (model_FN),,29.154759474226502,25.0
G21_03_1_10_Bright Field_002__y1780_x246_h128_w128.jpg,1,6,model_cc_no_match (model_FP),2.0,20.0,
H20_03_1_10_Bright Field_001__y795_x640_h107_w107.jpg,2,9,model_cc_no_match (model_FP),2.0,16.0,
H20_03_1_10_Bright Field_001__y795_x640_h107_w107.jpg,2,9,model_cc_no_match (model_FP),4.0,9.0,
H20_03_1_10_Bright Field_001__y795_x640_h107_w107.jpg,2,9,model_cc_no_match (model_FP),5.0,6.0,
H20_03_1_1_Bright Field_001__y626_x516_h64_w64.jpg,3,9,model_cc_no_match (model_FP),3.0,4.0,
G21_03_1_8_Bright Field_001__y846_x1255_h66_w66.jpg,2,8,model_cc_no_match (model_FP),2.0,11.0,
G21_03_1_6_Bright Field_002__y1500_x364_h128_w128.jpg,2,5,model_cc_no_match (model_FP),2.0,3.0,
H20_03_1_12_Bright Field_002__y1494_x50_h64_w64.jpg,3,4,manual_no_match (model_FN),,15.033296378372908,43.0
H20_03_1_12_Bright Field_001__y1559_x525_h99_w99.jpg,3,3,manual_no_match (model_FN),,16.97056274847714,50.0
H20_03_1_11_Bright Field_002__y1664_x506_h77_w77.jpg,3,2,model_cc_no_match (model_FP),1.0,25.0,
H20_03_1_11_Bright Field_002__y1664_x506_h77_w77.jpg,3,2,model_cc_no_match (model_FP),6.0,9.0,
