group,method,n,mean,q1,q3
neg_control,classifier,297,5.830385456481221,1.6544992607859355,8.708555567172526
S-UNT,classifier,705,28.004514496499493,19.81221654800299,35.951603364032316
SLN1,classifier,113,22.292958764713273,15.113778641527782,27.819758427022883
SLHi,classifier,165,24.837157247994412,16.91724865400946,31.87607785599964
SE1,classifier,47,16.481778529277054,10.805872681061288,22.885054379047393
SE2,classifier,12,11.264460256158683,6.39228810713415,17.00925441707631
neg_control,soft_classifier,697,22.553201576062627,0.1592616201396581,26.72490424342372
S-UNT,soft_classifier,717,27.170052005476855,19.50426703785399,34.67205726353566
SLN1,soft_classifier,112,22.523025504579426,16.164678298432765,27.757159722442484
SLHi,soft_classifier,164,24.041759120708452,17.196810381415574,30.381006167093798
SE1,soft_classifier,47,16.205907373967456,10.574106736805682,23.18082327353101
SE2,soft_classifier,12,11.465745003508859,5.642422370497623,17.955313856261558
neg_control,convexity,772,0.21034425953279384,0.044038536763368843,0.3252672471659803
S-UNT,convexity,702,2.693106573508924,1.7382113048221794,3.511977324978532
SLN1,convexity,118,2.2744557390823235,1.488256757536347,3.037840705777048
SLHi,convexity,163,2.630763748126997,1.6329223264886568,3.5132895869089853
SE1,convexity,46,2.217986700941943,1.0378547393361444,3.107430181557692
SE2,convexity,12,2.6312810944038953,1.6198679915289955,3.8987159275881678
