condition,group,stem,n_sickle,n_cells,polymer_length_um,polymer_um_per_100_cells,polymer_um_per_100_sickle_cells
A-UNT,neg_control,D10_03_1_10_Bright Field_001,0,9,6.668959582037396,74.09955091152662,
A-UNT,neg_control,D10_03_1_10_Bright Field_002,0,19,0.0,0.0,
A-UNT,neg_control,D10_03_1_11_Bright Field_001,0,20,2.980546648793336,14.90273324396668,
A-UNT,neg_control,D10_03_1_11_Bright Field_002,0,31,0.0,0.0,
A-UNT,neg_control,D10_03_1_12_Bright Field_001,0,30,4.105854028438316,13.686180094794386,
A-UNT,neg_control,D10_03_1_12_Bright Field_002,0,40,13.156856122511282,32.89214030627821,
A-UNT,neg_control,D10_03_1_13_Bright Field_001,1,34,0.0,0.0,0.0
A-UNT,neg_control,D10_03_1_13_Bright Field_002,0,36,7.218413997488257,20.05114999302294,
A-UNT,neg_control,D10_03_1_14_Bright Field_001,0,32,4.556900755941753,14.240314862317978,
A-UNT,neg_control,D10_03_1_14_Bright Field_002,0,27,12.68438604652188,46.97920757971066,
A-UNT,neg_control,D10_03_1_15_Bright Field_001,0,22,0.0,0.0,
A-UNT,neg_control,D10_03_1_15_Bright Field_002,1,26,1.89997561648009,7.3075985249234225,189.997561648009
A-UNT,neg_control,D10_03_1_16_Bright Field_001,0,34,2.108064064094525,6.200188423807426,
A-UNT,neg_control,D10_03_1_16_Bright Field_002,0,39,1.9446735679296592,4.9863424818709206,
A-UNT,neg_control,D10_03_1_1_Bright Field_001,0,26,4.614490329201991,17.748039727699965,
A-UNT,neg_control,D10_03_1_1_Bright Field_002,0,17,10.695151062819612,62.9126533107036,
A-UNT,neg_control,D10_03_1_2_Bright Field_001,0,32,55.478736245481606,173.37105076713001,
A-UNT,neg_control,D10_03_1_2_Bright Field_002,0,20,74.49608417472656,372.48042087363285,
A-UNT,neg_control,D10_03_1_3_Bright Field_001,0,42,11.303353500950397,26.91274643083428,
A-UNT,neg_control,D10_03_1_3_Bright Field_002,3,17,4.920344846392083,28.943204978776954,164.0114948797361
A-UNT,neg_control,D10_03_1_4_Bright Field_001,0,64,1.9703576969649335,3.0786839015077083,
A-UNT,neg_control,D10_03_1_4_Bright Field_002,0,30,3.8595973546694555,12.865324515564852,
A-UNT,neg_control,D10_03_1_5_Bright Field_001,0,16,1.952309310631297,12.201933191445606,
A-UNT,neg_control,D10_03_1_5_Bright Field_002,0,22,0.0,0.0,
A-UNT,neg_control,D10_03_1_6_Bright Field_001,0,17,0.0,0.0,
A-UNT,neg_control,D10_03_1_6_Bright Field_002,1,22,4.901520561483278,22.279638915833083,490.1520561483278
A-UNT,neg_control,D10_03_1_7_Bright Field_001,2,20,0.0,0.0,0.0
A-UNT,neg_control,D10_03_1_7_Bright Field_002,0,34,7.74233013612993,22.771559223911563,
A-UNT,neg_control,D10_03_1_8_Bright Field_001,0,38,13.469098961178704,35.44499726625975,
A-UNT,neg_control,D10_03_1_8_Bright Field_002,0,32,10.43079526164382,32.59623519263693,
A-UNT,neg_control,D10_03_1_9_Bright Field_001,1,28,6.347791038435712,22.670682280127544,634.7791038435712
A-UNT,neg_control,D10_03_1_9_Bright Field_002,0,32,0.0,0.0,
A-UNT,neg_control,D11_03_1_10_Bright Field_001,2,35,1.7787566295818966,5.082161798805418,88.93783147909483
A-UNT,neg_control,D11_03_1_10_Bright Field_002,1,32,0.0,0.0,0.0
A-UNT,neg_control,D11_03_1_11_Bright Field_001,0,40,0.0,0.0,
A-UNT,neg_control,D11_03_1_11_Bright Field_002,0,50,3.701867118760485,7.40373423752097,
A-UNT,neg_control,D11_03_1_12_Bright Field_001,0,38,11.124561241429044,29.27516116165538,
A-UNT,neg_control,D11_03_1_12_Bright Field_002,0,59,11.556496841153317,19.58728278161579,
A-UNT,neg_control,D11_03_1_13_Bright Field_001,1,44,4.357186374562119,9.902696305822998,435.71863745621187
A-UNT,neg_control,D11_03_1_13_Bright Field_002,2,63,5.1275884189867,8.139029236486826,256.379420949335
A-UNT,neg_control,D11_03_1_14_Bright Field_001,0,40,1.6377711213338162,4.094427803334541,
A-UNT,neg_control,D11_03_1_14_Bright Field_002,1,70,0.0,0.0,0.0
A-UNT,neg_control,D11_03_1_15_Bright Field_001,0,39,9.97747884803928,25.583279097536614,
A-UNT,neg_control,D11_03_1_15_Bright Field_002,1,60,35.57924070152868,59.29873450254781,3557.9240701528684
A-UNT,neg_control,D11_03_1_16_Bright Field_001,0,38,6.321919364135057,16.63662990561857,
A-UNT,neg_control,D11_03_1_16_Bright Field_002,1,71,7.856879407289155,11.066027334210077,785.6879407289155
A-UNT,neg_control,D11_03_1_1_Bright Field_001,2,43,0.0,0.0,0.0
A-UNT,neg_control,D11_03_1_1_Bright Field_002,0,65,6.1667174133138785,9.487257558944428,
A-UNT,neg_control,D11_03_1_2_Bright Field_001,0,44,0.0,0.0,
A-UNT,neg_control,D11_03_1_2_Bright Field_002,0,34,0.0,0.0,
A-UNT,neg_control,D11_03_1_3_Bright Field_001,0,32,1.6551811076619256,5.172440961443518,
A-UNT,neg_control,D11_03_1_3_Bright Field_002,1,27,5.690126657241279,21.0745431749677,569.0126657241279
A-UNT,neg_control,D11_03_1_4_Bright Field_001,0,43,9.587038596159559,22.295438595719904,
A-UNT,neg_control,D11_03_1_4_Bright Field_002,0,32,2.9676459437006324,9.273893574064477,
A-UNT,neg_control,D11_03_1_5_Bright Field_001,0,37,1.8939855629338116,5.1188798998211125,
A-UNT,neg_control,D11_03_1_5_Bright Field_002,0,56,1.7103344681299646,3.0541686930892227,
A-UNT,neg_control,D11_03_1_6_Bright Field_001,1,36,0.0,0.0,0.0
A-UNT,neg_control,D11_03_1_6_Bright Field_002,0,37,0.0,0.0,
A-UNT,neg_control,D11_03_1_7_Bright Field_001,0,37,0.0,0.0,
A-UNT,neg_control,D11_03_1_7_Bright Field_002,2,31,1.8514382994062968,5.972381610988054,92.57191497031484
A-UNT,neg_control,D11_03_1_8_Bright Field_001,1,57,3.6471715025078195,6.398546495627754,364.71715025078197
A-UNT,neg_control,D11_03_1_8_Bright Field_002,0,37,0.0,0.0,
A-UNT,neg_control,D11_03_1_9_Bright Field_001,2,50,23.83231116768773,47.66462233537546,1191.6155583843865
A-UNT,neg_control,D11_03_1_9_Bright Field_002,1,58,14.724783110824308,25.387557087628117,1472.4783110824308
A-UNT,neg_control,D12_03_1_10_Bright Field_001,0,44,1.9262345054449554,4.37780569419308,
A-UNT,neg_control,D12_03_1_10_Bright Field_002,1,35,9.060702582231073,25.88772166351735,906.0702582231073
A-UNT,neg_control,D12_03_1_11_Bright Field_001,0,40,4.905594690493631,12.263986726234076,
A-UNT,neg_control,D12_03_1_11_Bright Field_002,1,49,10.256116166450992,20.93084931928774,1025.6116166450993
A-UNT,neg_control,D12_03_1_12_Bright Field_001,0,39,31.702538738098525,81.2885608669193,
A-UNT,neg_control,D12_03_1_12_Bright Field_002,0,55,21.951009522491994,39.9109264045309,
A-UNT,neg_control,D12_03_1_13_Bright Field_001,0,41,139.93785126154367,341.3118323452285,
A-UNT,neg_control,D12_03_1_13_Bright Field_002,1,52,130.7168619034214,251.3785805835027,13071.68619034214
A-UNT,neg_control,D12_03_1_14_Bright Field_001,0,34,25.453810601869954,74.86414882902928,
A-UNT,neg_control,D12_03_1_14_Bright Field_002,1,68,37.151618088638905,54.63473248329251,3715.1618088638907
A-UNT,neg_control,D12_03_1_15_Bright Field_001,1,43,5.35573930286205,12.455207681074535,535.573930286205
A-UNT,neg_control,D12_03_1_15_Bright Field_002,2,56,42.9536581143758,76.7029609185282,2147.6829057187897
A-UNT,neg_control,D12_03_1_16_Bright Field_001,0,43,19.385665482098688,45.08294298162486,
A-UNT,neg_control,D12_03_1_16_Bright Field_002,0,55,51.102085150279294,92.91288209141689,
A-UNT,neg_control,D12_03_1_1_Bright Field_001,0,37,41.996980850183185,113.50535364914373,
A-UNT,neg_control,D12_03_1_1_Bright Field_002,0,38,38.65400935826926,101.72107725860333,
A-UNT,neg_control,D12_03_1_2_Bright Field_001,0,30,2.3825661358886,7.9418871196286664,
A-UNT,neg_control,D12_03_1_2_Bright Field_002,0,31,4.89685397278383,15.796303138012354,
