source_image,x,y,label,annotator,notes
D16_03_1_7_Bright Field_001_LHi (176).jpg,390,1013,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (165).jpg,396,383,sickle,UG,
G21_03_1_1_Bright Field_002.jpg,216,1178,non_sickle,UG,nearby debris
G21_03_1_15_Bright Field_001.jpg,546,1865,non_sickle,UG,nearby debris
H20_03_1_16_Bright Field_002.jpg,702,1707,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (154).jpg,544,910,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (84).jpg,1199,1760,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (22).jpg,301,1103,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (54).jpg,620,1149,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (152).jpg,281,1068,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (144).jpg,1122,1324,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (48).jpg,243,1219,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (112).jpg,1367,1313,sickle,UG,multiple sickle
I20_03_1_1_Bright Field_002.jpg,468,1412,sickle,UG,
G21_03_1_14_Bright Field_001.jpg,453,1345,sickle,UG,
K20_03_1_16_Bright Field_002.jpg,698,1739,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (84).jpg,948,1801,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (84).jpg,474,1239,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (174).jpg,691,1589,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (164).jpg,212,1202,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (172).jpg,1849,655,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (94).jpg,737,514,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (154).jpg,219,350,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (118).jpg,936,1749,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (96).jpg,765,1603,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (48).jpg,1484,1718,sickle,UG,
G21_03_1_1_Bright Field_001.jpg,286,1086,non_sickle,UG,nearby debris
D16_03_1_7_Bright Field_001_LHi (158).jpg,1069,1467,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (176).jpg,1510,1470,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (62).jpg,518,1792,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (172).jpg,1432,1427,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (118).jpg,129,1184,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (92).jpg,499,194,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (168).jpg,1094,1017,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (55).jpg,125,783,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (38).jpg,397,565,sickle,UG,
K20_03_1_10_Bright Field_002.jpg,145,1643,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (153).jpg,310,657,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (160).jpg,1168,1750,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (58).jpg,468,91,sickle,UG,
G21_03_1_15_Bright Field_002.jpg,1113,1857,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (124).jpg,1557,338,sickle,UG,
I20_03_1_9_Bright Field_002.jpg,389,424,sickle,UG,
I20_03_1_9_Bright Field_002.jpg,129,1269,sickle,UG,
J20_03_1_14_Bright Field_001.jpg,462,1870,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (146).jpg,788,1764,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (150).jpg,955,889,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (84).jpg,431,1621,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (157).jpg,658,1120,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (90).jpg,998,317,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (50).jpg,484,1753,sickle,UG,
